src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
21,22,53,53,6,639,20,20,0,0.0,tie
69,9,336,336,16,3773,108,165,-57,52.78,OBM
129,4,950,950,6,12486,40,113,-73,182.5,OBM
121,25,151,151,26,1777,96,100,-4,4.17,OBM
115,21,875,875,42,11388,1387,516,871,168.8,ABM
61,1,270,270,20,3015,1080,76,1004,1321.05,ABM
42,16,1335,1335,19,17394,115,135,-20,17.39,OBM
88,25,13,13,16,171,38,38,0,0.0,tie
108,14,199,199,45,2257,1182,166,1016,612.05,ABM
123,7,849,849,40,11098,225,317,-92,40.89,OBM
33,17,230,230,37,2616,210,173,37,21.39,ABM
11,14,281,281,17,3117,27,31,-4,14.81,OBM
37,24,681,681,19,8559,90,98,-8,8.89,OBM
108,32,477,477,20,5934,161,205,-44,27.33,OBM
133,17,833,833,29,10875,114,1253,-1139,999.12,OBM
136,1,911,911,15,11930,87,73,14,19.18,ABM
32,28,1014,1014,69,13276,226,460,-234,103.54,OBM
137,30,1110,1110,42,14498,1195,1330,-135,11.3,OBM
67,16,1281,1281,17,16534,83,125,-42,50.6,OBM
143,22,826,826,17,10779,1080,105,975,928.57,ABM
11,31,721,721,49,9163,232,415,-183,78.88,OBM
52,14,1170,1170,6,15267,33,38,-5,15.15,OBM
125,23,1342,1342,52,17453,2337,1478,859,58.12,ABM
120,11,914,914,44,11983,1352,296,1056,356.76,ABM
12,17,198,198,6,2253,49,44,5,11.36,ABM
57,20,189,189,12,2127,70,68,2,2.94,ABM
122,17,32,32,38,410,109,111,-2,1.83,OBM
142,28,1045,1045,44,13618,2280,251,2029,808.37,ABM
9,4,509,509,33,6346,78,205,-127,162.82,OBM
11,32,1299,1299,6,16803,51,92,-41,80.39,OBM
18,10,482,482,53,5986,189,178,11,6.18,ABM
105,16,566,566,6,7131,31,45,-14,45.16,OBM
28,5,805,805,13,10492,1044,92,952,1034.78,ABM
10,25,982,982,16,12897,2125,87,2038,2342.53,ABM
110,16,876,876,28,11420,117,195,-78,66.67,OBM
67,27,167,167,21,1918,63,62,1,1.61,ABM
78,19,1197,1197,38,15751,179,393,-214,119.55,OBM
131,20,1252,1252,16,16234,83,89,-6,7.23,OBM
75,17,1204,1204,15,15807,54,74,-20,37.04,OBM
114,24,587,587,13,7470,72,99,-27,37.5,OBM
32,5,1455,1455,29,19057,144,208,-64,44.44,OBM
57,7,223,223,91,2571,348,354,-6,1.72,OBM
117,30,942,942,32,12422,2221,1204,1017,84.47,ABM
54,32,970,970,10,12715,85,76,9,11.84,ABM
16,13,549,549,74,6887,416,531,-115,27.64,OBM
25,11,173,173,76,1954,314,286,28,9.79,ABM
42,12,405,405,6,4780,45,42,3,7.14,ABM
109,24,735,735,31,9401,122,161,-39,31.97,OBM
109,31,992,992,29,13013,242,239,3,1.26,ABM
81,5,365,365,18,4115,58,87,-29,50.0,OBM
113,26,417,417,40,5014,2153,135,2018,1494.81,ABM
90,26,555,555,31,6959,92,176,-84,91.3,OBM
107,32,1336,1336,6,17399,38,83,-45,118.42,OBM
26,3,599,599,6,7632,40,55,-15,37.5,OBM
96,24,452,452,29,5538,141,169,-28,19.86,OBM
101,13,1428,1428,15,18726,40,188,-148,370.0,OBM
142,29,962,962,6,12596,55,49,6,12.24,ABM
90,19,1255,1255,36,16261,184,1390,-1206,655.43,OBM
128,26,579,579,6,7396,39,45,-6,15.38,OBM
29,27,1268,1268,7,16444,17,25,-8,47.06,OBM
53,27,18,18,49,254,79,79,0,0.0,tie
69,1,1460,1460,6,19089,35,43,-8,22.86,OBM
121,24,306,306,28,3398,133,131,2,1.53,ABM
135,29,368,368,18,4122,74,60,14,23.33,ABM
45,20,1027,1027,45,13368,2315,256,2059,804.3,ABM
30,22,1493,1493,14,19484,32,72,-40,125.0,OBM
118,12,416,416,59,4968,303,411,-108,35.64,OBM
36,10,987,987,40,12954,2236,249,1987,797.99,ABM
134,8,1160,1160,45,15135,1295,4776,-3481,268.8,OBM
23,4,628,628,40,7940,305,425,-120,39.34,OBM
69,28,71,71,41,869,156,184,-28,17.95,OBM
122,19,397,397,24,4636,1103,97,1006,1037.11,ABM
143,25,158,158,53,1848,242,1256,-1014,419.01,OBM
95,25,1077,1077,61,14005,3246,352,2894,822.16,ABM
25,10,400,400,9,4692,38,35,3,8.57,ABM
1,2,1272,1272,88,16467,1217,1799,-582,47.82,OBM
